img_name,actor_name_Golem,actor_name_Satyr,actor_type_type1,actor_type_type2,actor_type_type3,actor_action_Attacking,actor_action_Taunt,actor_action_Walking,reactor_name_Golem,reactor_name_Satyr,reactor_type_type1,reactor_type_type2,reactor_type_type3,reactor_action_Attacking,reactor_action_Dying,reactor_action_Hurt,reactor_action_Idle
combination0_original,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
combination0_horizontal,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
combination0_rotation1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
combination0_rotation2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
combination0_rotation3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
combination0_noise1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
combination0_noise2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
combination0_noise3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
combination0_noise4,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
combination0_noise5,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
combination0_noise6,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
combination1_original,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
combination1_horizontal,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
combination1_rotation1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
combination1_rotation2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
combination1_rotation3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
combination1_noise1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
combination1_noise2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
combination1_noise3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
combination1_noise4,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
combination1_noise5,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
combination1_noise6,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
combination2_original,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
combination2_horizontal,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
combination2_rotation1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
combination2_rotation2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
combination2_rotation3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
combination2_noise1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
combination2_noise2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
combination2_noise3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
combination2_noise4,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
combination2_noise5,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
combination2_noise6,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
combination3_original,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
combination3_horizontal,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
combination3_rotation1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
